City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,waitangi,-43.9535,-176.5597,7.68,93,90,0.45,NZ,1699465669
1,tofol,5.3248,163.0078,28.97,77,85,6.58,FM,1699465669
2,hamilton,39.1834,-84.5333,25.55,59,20,7.72,US,1699465572
3,somanda,-3.3667,33.95,22.69,71,81,5.93,TZ,1699465669
4,tralee,52.2704,-9.7026,7.14,87,40,5.66,IE,1699465669
5,east london,-33.0153,27.9116,18.52,77,0,3.09,ZA,1699465266
6,aasiaat,68.7098,-52.8699,-6.49,90,100,1.35,GL,1699465670
7,ushuaia,-54.8,-68.3,8.79,46,20,3.58,AR,1699465670
8,port-aux-francais,-49.35,70.2167,5.29,95,90,13.52,TF,1699465670
9,mazagao,-0.115,-51.2894,36.03,28,100,3.06,BR,1699465670
10,olonkinbyen,70.9221,-8.7187,0.91,81,47,3.91,SJ,1699465671
11,susuman,62.7833,148.1667,-27.99,99,98,0.75,RU,1699465671
12,rawson,-43.3002,-65.1023,18.15,32,52,6.48,AR,1699465671
13,tocopilla,-22.092,-70.1979,20.45,66,19,2.32,CL,1699465671
14,albany,42.6001,-73.9662,5.1,51,28,3.85,US,1699465320
15,filey,54.21,-0.2892,8.82,80,100,1.79,GB,1699465672
16,fort st. john,56.2499,-120.8529,-1.06,74,20,7.2,CA,1699465538
17,fukuecho,32.6881,128.8419,18.17,67,99,2.11,JP,1699465672
18,salahonda,2.1019,-78.7217,26.27,87,100,5.27,CO,1699465672
19,tura,25.5198,90.2201,17.84,76,0,1.14,IN,1699465672
20,praia da vitoria,38.7333,-27.0667,19.31,100,75,3.45,PT,1699465673
21,bredasdorp,-34.5322,20.0403,14.44,65,5,2.27,ZA,1699465673
22,wailua homesteads,22.0669,-159.378,24.44,89,75,4.63,US,1699465673
23,cooma,-36.2333,149.1333,9.42,93,73,1.07,AU,1699465673
24,invercargill,-46.4,168.35,8.9,95,95,0.84,NZ,1699465673
25,dunedin,-45.8742,170.5036,9.89,72,90,3.13,NZ,1699465674
26,adamstown,-25.066,-130.1015,22.56,87,100,9.01,PN,1699465674
27,punta arenas,-53.15,-70.9167,10.06,46,75,12.86,CL,1699465674
28,bethel,41.3712,-73.414,8.83,45,0,4.12,US,1699465674
29,belmonte,-15.8631,-38.8828,26.27,56,20,4.93,BR,1699465674
30,thompson,55.7435,-97.8558,-1.91,69,75,2.06,CA,1699465666
31,avesta,60.1455,16.1679,2.33,99,100,1.17,SE,1699465674
32,edinburgh of the seven seas,-37.0676,-12.3116,13.65,76,84,9.84,SH,1699465674
33,salatiga,-7.3319,110.4928,26.33,96,51,2.29,ID,1699465674
34,whitehorse,60.7161,-135.0538,1.43,75,75,9.77,CA,1699465667
35,richards bay,-28.783,32.0377,19.11,80,57,2.82,ZA,1699465675
36,chardara,41.2547,67.9692,13.48,62,100,8.09,KZ,1699465675
37,tolanaro,-25.0319,46.9987,25.04,78,40,9.77,MG,1699465675
38,blackmans bay,-43.0167,147.3167,14.29,96,96,0.45,AU,1699465675
39,nar'yan-mar,67.6713,53.087,0.62,100,100,4.02,RU,1699465675
40,lezhe,41.7836,19.6436,14.18,93,86,0.77,AL,1699465676
